City,Type,Category,Sub-Category,Amount
Adelanto,Expenditure,General Government,Legislative,86775
Adelanto,Expenditure,General Government,Management and Support,2406912
Adelanto,Expenditure,Public Safety,Police,5149106
Adelanto,Expenditure,Public Safety,Fire,3093671
Adelanto,Expenditure,Public Safety,Emergency Medical Services,
Adelanto,Expenditure,Public Safety,Animal Regulation,196458
Adelanto,Expenditure,Public Safety,Weed Abatement,
Adelanto,Expenditure,Public Safety,Street Lighting,58478
Adelanto,Expenditure,Public Safety,Disaster Preparedness,
Adelanto,Expenditure,Public Safety,Other,9258470
Adelanto,Expenditure,Transportation,"Streets, Highways, and Storm Drains",1530251
Adelanto,Expenditure,Transportation,Street Trees and Landscaping,
Adelanto,Expenditure,Transportation,Parking Facilities,
Adelanto,Expenditure,Transportation,Public Transit,
Adelanto,Expenditure,Transportation,Airports,
Adelanto,Expenditure,Transportation,Ports and Harbors,
Adelanto,Expenditure,Transportation,Other,
Adelanto,Expenditure,Community Development,Planning,597317
Adelanto,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Adelanto,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,916839
Adelanto,Expenditure,Community Development,Redevelopment,
Adelanto,Expenditure,Community Development,Housing,
Adelanto,Expenditure,Community Development,Employment,
Adelanto,Expenditure,Community Development,Community Promotion,
Adelanto,Expenditure,Community Development,Other,
Adelanto,Expenditure,Health,Physical and Mental Health,
Adelanto,Expenditure,Health,Hospitals and Sanitariums,
Adelanto,Expenditure,Health,Solid Waste,3134459
Adelanto,Expenditure,Health,Sewers,
Adelanto,Expenditure,Health,Cemeteries,
Adelanto,Expenditure,Health,Other,
Adelanto,Expenditure,Culture and Leisure,Parks and Recreation,466783
Adelanto,Expenditure,Culture and Leisure,Marinas and Wharfs,
Adelanto,Expenditure,Culture and Leisure,Libraries,
Adelanto,Expenditure,Culture and Leisure,Museums,
Adelanto,Expenditure,Culture and Leisure,Golf Courses,
Adelanto,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Adelanto,Expenditure,Culture and Leisure,Community Center and Auditoriums,69537
Adelanto,Expenditure,Culture and Leisure,Other,
Adelanto,Expenditure,Public Utilities,Water,
Adelanto,Expenditure,Public Utilities,Gas,
Adelanto,Expenditure,Public Utilities,Electric,
Adelanto,Expenditure,Public Utilities,Other,
Adelanto,Expenditure,Public Utilities,Other,
Adelanto,Total Expenditures,Total Expenditures,Total Expenditures,26965056
Agoura Hills,Expenditure,General Government,Legislative,1182513
Agoura Hills,Expenditure,General Government,Management and Support,1254781
Agoura Hills,Expenditure,Public Safety,Police,3654581
Agoura Hills,Expenditure,Public Safety,Fire,
Agoura Hills,Expenditure,Public Safety,Emergency Medical Services,
Agoura Hills,Expenditure,Public Safety,Animal Regulation,1012
Agoura Hills,Expenditure,Public Safety,Weed Abatement,
Agoura Hills,Expenditure,Public Safety,Street Lighting,
Agoura Hills,Expenditure,Public Safety,Disaster Preparedness,
Agoura Hills,Expenditure,Public Safety,Other,
Agoura Hills,Expenditure,Transportation,"Streets, Highways, and Storm Drains",5108956
Agoura Hills,Expenditure,Transportation,Street Trees and Landscaping,264833
Agoura Hills,Expenditure,Transportation,Parking Facilities,
Agoura Hills,Expenditure,Transportation,Public Transit,733453
Agoura Hills,Expenditure,Transportation,Airports,
Agoura Hills,Expenditure,Transportation,Ports and Harbors,
Agoura Hills,Expenditure,Transportation,Other,
Agoura Hills,Expenditure,Community Development,Planning,1155960
Agoura Hills,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Agoura Hills,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,531135
Agoura Hills,Expenditure,Community Development,Redevelopment,
Agoura Hills,Expenditure,Community Development,Housing,
Agoura Hills,Expenditure,Community Development,Employment,
Agoura Hills,Expenditure,Community Development,Community Promotion,
Agoura Hills,Expenditure,Community Development,Other,
Agoura Hills,Expenditure,Health,Physical and Mental Health,
Agoura Hills,Expenditure,Health,Hospitals and Sanitariums,
Agoura Hills,Expenditure,Health,Solid Waste,73167
Agoura Hills,Expenditure,Health,Sewers,
Agoura Hills,Expenditure,Health,Cemeteries,
Agoura Hills,Expenditure,Health,Other,
Agoura Hills,Expenditure,Culture and Leisure,Parks and Recreation,1658402
Agoura Hills,Expenditure,Culture and Leisure,Marinas and Wharfs,
Agoura Hills,Expenditure,Culture and Leisure,Libraries,
Agoura Hills,Expenditure,Culture and Leisure,Museums,26112
Agoura Hills,Expenditure,Culture and Leisure,Golf Courses,
Agoura Hills,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Agoura Hills,Expenditure,Culture and Leisure,Community Center and Auditoriums,932999
Agoura Hills,Expenditure,Culture and Leisure,Other,
Agoura Hills,Expenditure,Public Utilities,Water,
Agoura Hills,Expenditure,Public Utilities,Gas,
Agoura Hills,Expenditure,Public Utilities,Electric,
Agoura Hills,Expenditure,Public Utilities,Other,
Agoura Hills,Expenditure,Public Utilities,Other,
Agoura Hills,Total Expenditures,Total Expenditures,Total Expenditures,16577904
Alameda,Expenditure,General Government,Legislative,1444162
Alameda,Expenditure,General Government,Management and Support,23702543
Alameda,Expenditure,Public Safety,Police,25279179
Alameda,Expenditure,Public Safety,Fire,7969433
Alameda,Expenditure,Public Safety,Emergency Medical Services,15188253
Alameda,Expenditure,Public Safety,Animal Regulation,488677
Alameda,Expenditure,Public Safety,Weed Abatement,
Alameda,Expenditure,Public Safety,Street Lighting,380374
Alameda,Expenditure,Public Safety,Disaster Preparedness,
Alameda,Expenditure,Public Safety,Other,
Alameda,Expenditure,Transportation,"Streets, Highways, and Storm Drains",6498119
Alameda,Expenditure,Transportation,Street Trees and Landscaping,723321
Alameda,Expenditure,Transportation,Parking Facilities,62666
Alameda,Expenditure,Transportation,Public Transit,1492806
Alameda,Expenditure,Transportation,Airports,
Alameda,Expenditure,Transportation,Ports and Harbors,
Alameda,Expenditure,Transportation,Other,
Alameda,Expenditure,Community Development,Planning,700815
Alameda,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Alameda,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,4075951
Alameda,Expenditure,Community Development,Redevelopment,16769421
Alameda,Expenditure,Community Development,Housing,2582331
Alameda,Expenditure,Community Development,Employment,
Alameda,Expenditure,Community Development,Community Promotion,
Alameda,Expenditure,Community Development,Other,36374
Alameda,Expenditure,Health,Physical and Mental Health,
Alameda,Expenditure,Health,Hospitals and Sanitariums,
Alameda,Expenditure,Health,Solid Waste,1704664
Alameda,Expenditure,Health,Sewers,3754880
Alameda,Expenditure,Health,Cemeteries,
Alameda,Expenditure,Health,Other,
Alameda,Expenditure,Culture and Leisure,Parks and Recreation,5833456
Alameda,Expenditure,Culture and Leisure,Marinas and Wharfs,
Alameda,Expenditure,Culture and Leisure,Libraries,3238565
Alameda,Expenditure,Culture and Leisure,Museums,
Alameda,Expenditure,Culture and Leisure,Golf Courses,4163608
Alameda,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Alameda,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Alameda,Expenditure,Culture and Leisure,Other,
Alameda,Expenditure,Public Utilities,Water,
Alameda,Expenditure,Public Utilities,Gas,
Alameda,Expenditure,Public Utilities,Electric,49429077
Alameda,Expenditure,Public Utilities,Other,
Alameda,Expenditure,Public Utilities,Other,
Alameda,Total Expenditures,Total Expenditures,Total Expenditures,175518675
Albany,Expenditure,General Government,Legislative,401662
Albany,Expenditure,General Government,Management and Support,10000251
Albany,Expenditure,Public Safety,Police,6086203
Albany,Expenditure,Public Safety,Fire,4409299
Albany,Expenditure,Public Safety,Emergency Medical Services,1599309
Albany,Expenditure,Public Safety,Animal Regulation,
Albany,Expenditure,Public Safety,Weed Abatement,
Albany,Expenditure,Public Safety,Street Lighting,
Albany,Expenditure,Public Safety,Disaster Preparedness,
Albany,Expenditure,Public Safety,Other,192799
Albany,Expenditure,Transportation,"Streets, Highways, and Storm Drains",6052788
Albany,Expenditure,Transportation,Street Trees and Landscaping,212330
Albany,Expenditure,Transportation,Parking Facilities,
Albany,Expenditure,Transportation,Public Transit,
Albany,Expenditure,Transportation,Airports,
Albany,Expenditure,Transportation,Ports and Harbors,
Albany,Expenditure,Transportation,Other,
Albany,Expenditure,Community Development,Planning,699711
Albany,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Albany,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,414880
Albany,Expenditure,Community Development,Redevelopment,
Albany,Expenditure,Community Development,Housing,
Albany,Expenditure,Community Development,Employment,
Albany,Expenditure,Community Development,Community Promotion,
Albany,Expenditure,Community Development,Other,795458
Albany,Expenditure,Health,Physical and Mental Health,
Albany,Expenditure,Health,Hospitals and Sanitariums,
Albany,Expenditure,Health,Solid Waste,
Albany,Expenditure,Health,Sewers,776203
Albany,Expenditure,Health,Cemeteries,
Albany,Expenditure,Health,Other,
Albany,Expenditure,Culture and Leisure,Parks and Recreation,2265659
Albany,Expenditure,Culture and Leisure,Marinas and Wharfs,
Albany,Expenditure,Culture and Leisure,Libraries,898650
Albany,Expenditure,Culture and Leisure,Museums,
Albany,Expenditure,Culture and Leisure,Golf Courses,
Albany,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Albany,Expenditure,Culture and Leisure,Community Center and Auditoriums,430106
Albany,Expenditure,Culture and Leisure,Other,
Albany,Expenditure,Public Utilities,Water,
Albany,Expenditure,Public Utilities,Gas,
Albany,Expenditure,Public Utilities,Electric,
Albany,Expenditure,Public Utilities,Other,
Albany,Expenditure,Public Utilities,Other,
Albany,Total Expenditures,Total Expenditures,Total Expenditures,35235308
Alhambra,Expenditure,General Government,Legislative,874239
Alhambra,Expenditure,General Government,Management and Support,5190441
Alhambra,Expenditure,Public Safety,Police,23098367
Alhambra,Expenditure,Public Safety,Fire,13822482
Alhambra,Expenditure,Public Safety,Emergency Medical Services,
Alhambra,Expenditure,Public Safety,Animal Regulation,59639
Alhambra,Expenditure,Public Safety,Weed Abatement,
Alhambra,Expenditure,Public Safety,Street Lighting,2076549
Alhambra,Expenditure,Public Safety,Disaster Preparedness,
Alhambra,Expenditure,Public Safety,Other,
Alhambra,Expenditure,Transportation,"Streets, Highways, and Storm Drains",5082776
Alhambra,Expenditure,Transportation,Street Trees and Landscaping,771922
Alhambra,Expenditure,Transportation,Parking Facilities,2078392
Alhambra,Expenditure,Transportation,Public Transit,2152183
Alhambra,Expenditure,Transportation,Airports,
Alhambra,Expenditure,Transportation,Ports and Harbors,
Alhambra,Expenditure,Transportation,Other,
Alhambra,Expenditure,Community Development,Planning,1476641
Alhambra,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Alhambra,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,820760
Alhambra,Expenditure,Community Development,Redevelopment,
Alhambra,Expenditure,Community Development,Housing,1378638
Alhambra,Expenditure,Community Development,Employment,
Alhambra,Expenditure,Community Development,Community Promotion,244325
Alhambra,Expenditure,Community Development,Other,628146
Alhambra,Expenditure,Health,Physical and Mental Health,
Alhambra,Expenditure,Health,Hospitals and Sanitariums,
Alhambra,Expenditure,Health,Solid Waste,8373048
Alhambra,Expenditure,Health,Sewers,1867079
Alhambra,Expenditure,Health,Cemeteries,
Alhambra,Expenditure,Health,Other,23372
Alhambra,Expenditure,Culture and Leisure,Parks and Recreation,5722698
Alhambra,Expenditure,Culture and Leisure,Marinas and Wharfs,
Alhambra,Expenditure,Culture and Leisure,Libraries,2992037
Alhambra,Expenditure,Culture and Leisure,Museums,
Alhambra,Expenditure,Culture and Leisure,Golf Courses,2388933
Alhambra,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Alhambra,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Alhambra,Expenditure,Culture and Leisure,Other,
Alhambra,Expenditure,Public Utilities,Water,15504518
Alhambra,Expenditure,Public Utilities,Gas,
Alhambra,Expenditure,Public Utilities,Electric,
Alhambra,Expenditure,Public Utilities,Other,
Alhambra,Expenditure,Public Utilities,Other,
Alhambra,Total Expenditures,Total Expenditures,Total Expenditures,96627185
Aliso Viejo,Expenditure,General Government,Legislative,111399
Aliso Viejo,Expenditure,General Government,Management and Support,4381752
Aliso Viejo,Expenditure,Public Safety,Police,6111743
Aliso Viejo,Expenditure,Public Safety,Fire,
Aliso Viejo,Expenditure,Public Safety,Emergency Medical Services,
Aliso Viejo,Expenditure,Public Safety,Animal Regulation,204808
Aliso Viejo,Expenditure,Public Safety,Weed Abatement,
Aliso Viejo,Expenditure,Public Safety,Street Lighting,
Aliso Viejo,Expenditure,Public Safety,Disaster Preparedness,
Aliso Viejo,Expenditure,Public Safety,Other,143951
Aliso Viejo,Expenditure,Transportation,"Streets, Highways, and Storm Drains",3802272
Aliso Viejo,Expenditure,Transportation,Street Trees and Landscaping,
Aliso Viejo,Expenditure,Transportation,Parking Facilities,
Aliso Viejo,Expenditure,Transportation,Public Transit,
Aliso Viejo,Expenditure,Transportation,Airports,
Aliso Viejo,Expenditure,Transportation,Ports and Harbors,
Aliso Viejo,Expenditure,Transportation,Other,
Aliso Viejo,Expenditure,Community Development,Planning,1265381
Aliso Viejo,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Aliso Viejo,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,13802746
Aliso Viejo,Expenditure,Community Development,Redevelopment,
Aliso Viejo,Expenditure,Community Development,Housing,
Aliso Viejo,Expenditure,Community Development,Employment,
Aliso Viejo,Expenditure,Community Development,Community Promotion,
Aliso Viejo,Expenditure,Community Development,Other,105975
Aliso Viejo,Expenditure,Health,Physical and Mental Health,
Aliso Viejo,Expenditure,Health,Hospitals and Sanitariums,
Aliso Viejo,Expenditure,Health,Solid Waste,
Aliso Viejo,Expenditure,Health,Sewers,
Aliso Viejo,Expenditure,Health,Cemeteries,
Aliso Viejo,Expenditure,Health,Other,
Aliso Viejo,Expenditure,Culture and Leisure,Parks and Recreation,530475
Aliso Viejo,Expenditure,Culture and Leisure,Marinas and Wharfs,
Aliso Viejo,Expenditure,Culture and Leisure,Libraries,
Aliso Viejo,Expenditure,Culture and Leisure,Museums,
Aliso Viejo,Expenditure,Culture and Leisure,Golf Courses,
Aliso Viejo,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Aliso Viejo,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Aliso Viejo,Expenditure,Culture and Leisure,Other,
Aliso Viejo,Expenditure,Public Utilities,Water,
Aliso Viejo,Expenditure,Public Utilities,Gas,
Aliso Viejo,Expenditure,Public Utilities,Electric,
Aliso Viejo,Expenditure,Public Utilities,Other,
Aliso Viejo,Expenditure,Public Utilities,Other,
Aliso Viejo,Total Expenditures,Total Expenditures,Total Expenditures,30460502
Alturas,Expenditure,General Government,Legislative,18550
Alturas,Expenditure,General Government,Management and Support,295650
Alturas,Expenditure,Public Safety,Police,872725
Alturas,Expenditure,Public Safety,Fire,149583
Alturas,Expenditure,Public Safety,Emergency Medical Services,2131
Alturas,Expenditure,Public Safety,Animal Regulation,25208
Alturas,Expenditure,Public Safety,Weed Abatement,
Alturas,Expenditure,Public Safety,Street Lighting,
Alturas,Expenditure,Public Safety,Disaster Preparedness,
Alturas,Expenditure,Public Safety,Other,34661
Alturas,Expenditure,Transportation,"Streets, Highways, and Storm Drains",364435
Alturas,Expenditure,Transportation,Street Trees and Landscaping,
Alturas,Expenditure,Transportation,Parking Facilities,
Alturas,Expenditure,Transportation,Public Transit,
Alturas,Expenditure,Transportation,Airports,
Alturas,Expenditure,Transportation,Ports and Harbors,
Alturas,Expenditure,Transportation,Other,196064
Alturas,Expenditure,Community Development,Planning,43208
Alturas,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Alturas,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,56673
Alturas,Expenditure,Community Development,Redevelopment,
Alturas,Expenditure,Community Development,Housing,
Alturas,Expenditure,Community Development,Employment,
Alturas,Expenditure,Community Development,Community Promotion,10000
Alturas,Expenditure,Community Development,Other,
Alturas,Expenditure,Health,Physical and Mental Health,
Alturas,Expenditure,Health,Hospitals and Sanitariums,
Alturas,Expenditure,Health,Solid Waste,
Alturas,Expenditure,Health,Sewers,518084
Alturas,Expenditure,Health,Cemeteries,
Alturas,Expenditure,Health,Other,
Alturas,Expenditure,Culture and Leisure,Parks and Recreation,28743
Alturas,Expenditure,Culture and Leisure,Marinas and Wharfs,
Alturas,Expenditure,Culture and Leisure,Libraries,
Alturas,Expenditure,Culture and Leisure,Museums,
Alturas,Expenditure,Culture and Leisure,Golf Courses,
Alturas,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Alturas,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Alturas,Expenditure,Culture and Leisure,Other,49480
Alturas,Expenditure,Public Utilities,Water,671494
Alturas,Expenditure,Public Utilities,Gas,
Alturas,Expenditure,Public Utilities,Electric,
Alturas,Expenditure,Public Utilities,Other,156239
Alturas,Expenditure,Public Utilities,Other,2942
Alturas,Total Expenditures,Total Expenditures,Total Expenditures,3495870
Amador,Expenditure,General Government,Legislative,657
Amador,Expenditure,General Government,Management and Support,38600
Amador,Expenditure,Public Safety,Police,123823
Amador,Expenditure,Public Safety,Fire,
Amador,Expenditure,Public Safety,Emergency Medical Services,
Amador,Expenditure,Public Safety,Animal Regulation,140
Amador,Expenditure,Public Safety,Weed Abatement,
Amador,Expenditure,Public Safety,Street Lighting,2979
Amador,Expenditure,Public Safety,Disaster Preparedness,
Amador,Expenditure,Public Safety,Other,
Amador,Expenditure,Transportation,"Streets, Highways, and Storm Drains",938861
Amador,Expenditure,Transportation,Street Trees and Landscaping,
Amador,Expenditure,Transportation,Parking Facilities,
Amador,Expenditure,Transportation,Public Transit,
Amador,Expenditure,Transportation,Airports,
Amador,Expenditure,Transportation,Ports and Harbors,
Amador,Expenditure,Transportation,Other,
Amador,Expenditure,Community Development,Planning,
Amador,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Amador,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,1112
Amador,Expenditure,Community Development,Redevelopment,
Amador,Expenditure,Community Development,Housing,
Amador,Expenditure,Community Development,Employment,
Amador,Expenditure,Community Development,Community Promotion,6697
Amador,Expenditure,Community Development,Other,
Amador,Expenditure,Health,Physical and Mental Health,
Amador,Expenditure,Health,Hospitals and Sanitariums,
Amador,Expenditure,Health,Solid Waste,
Amador,Expenditure,Health,Sewers,79950
Amador,Expenditure,Health,Cemeteries,428
Amador,Expenditure,Health,Other,
Amador,Expenditure,Culture and Leisure,Parks and Recreation,9213
Amador,Expenditure,Culture and Leisure,Marinas and Wharfs,
Amador,Expenditure,Culture and Leisure,Libraries,
Amador,Expenditure,Culture and Leisure,Museums,2248
Amador,Expenditure,Culture and Leisure,Golf Courses,
Amador,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Amador,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Amador,Expenditure,Culture and Leisure,Other,
Amador,Expenditure,Public Utilities,Water,
Amador,Expenditure,Public Utilities,Gas,
Amador,Expenditure,Public Utilities,Electric,
Amador,Expenditure,Public Utilities,Other,
Amador,Expenditure,Public Utilities,Other,
Amador,Total Expenditures,Total Expenditures,Total Expenditures,1204708
American Canyon,Expenditure,General Government,Legislative,198617
American Canyon,Expenditure,General Government,Management and Support,7090019
American Canyon,Expenditure,Public Safety,Police,5986824
American Canyon,Expenditure,Public Safety,Fire,
American Canyon,Expenditure,Public Safety,Emergency Medical Services,
American Canyon,Expenditure,Public Safety,Animal Regulation,
American Canyon,Expenditure,Public Safety,Weed Abatement,
American Canyon,Expenditure,Public Safety,Street Lighting,
American Canyon,Expenditure,Public Safety,Disaster Preparedness,
American Canyon,Expenditure,Public Safety,Other,
American Canyon,Expenditure,Transportation,"Streets, Highways, and Storm Drains",6441700
American Canyon,Expenditure,Transportation,Street Trees and Landscaping,
American Canyon,Expenditure,Transportation,Parking Facilities,
American Canyon,Expenditure,Transportation,Public Transit,23656
American Canyon,Expenditure,Transportation,Airports,
American Canyon,Expenditure,Transportation,Ports and Harbors,
American Canyon,Expenditure,Transportation,Other,
American Canyon,Expenditure,Community Development,Planning,1571530
American Canyon,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
American Canyon,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,289250
American Canyon,Expenditure,Community Development,Redevelopment,
American Canyon,Expenditure,Community Development,Housing,303823
American Canyon,Expenditure,Community Development,Employment,
American Canyon,Expenditure,Community Development,Community Promotion,
American Canyon,Expenditure,Community Development,Other,
American Canyon,Expenditure,Health,Physical and Mental Health,
American Canyon,Expenditure,Health,Hospitals and Sanitariums,
American Canyon,Expenditure,Health,Solid Waste,
American Canyon,Expenditure,Health,Sewers,5249350
American Canyon,Expenditure,Health,Cemeteries,
American Canyon,Expenditure,Health,Other,
American Canyon,Expenditure,Culture and Leisure,Parks and Recreation,1830913
American Canyon,Expenditure,Culture and Leisure,Marinas and Wharfs,
American Canyon,Expenditure,Culture and Leisure,Libraries,
American Canyon,Expenditure,Culture and Leisure,Museums,
American Canyon,Expenditure,Culture and Leisure,Golf Courses,
American Canyon,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
American Canyon,Expenditure,Culture and Leisure,Community Center and Auditoriums,
American Canyon,Expenditure,Culture and Leisure,Other,
American Canyon,Expenditure,Public Utilities,Water,5918216
American Canyon,Expenditure,Public Utilities,Gas,
American Canyon,Expenditure,Public Utilities,Electric,
American Canyon,Expenditure,Public Utilities,Other,
American Canyon,Expenditure,Public Utilities,Other,
American Canyon,Total Expenditures,Total Expenditures,Total Expenditures,34903898
Anaheim,Expenditure,General Government,Legislative,7461104
Anaheim,Expenditure,General Government,Management and Support,42811277
Anaheim,Expenditure,Public Safety,Police,116039082
Anaheim,Expenditure,Public Safety,Fire,54298233
Anaheim,Expenditure,Public Safety,Emergency Medical Services,
Anaheim,Expenditure,Public Safety,Animal Regulation,895582
Anaheim,Expenditure,Public Safety,Weed Abatement,
Anaheim,Expenditure,Public Safety,Street Lighting,1016360
Anaheim,Expenditure,Public Safety,Disaster Preparedness,653852
Anaheim,Expenditure,Public Safety,Other,2292001
Anaheim,Expenditure,Transportation,"Streets, Highways, and Storm Drains",50137041
Anaheim,Expenditure,Transportation,Street Trees and Landscaping,3306690
Anaheim,Expenditure,Transportation,Parking Facilities,
Anaheim,Expenditure,Transportation,Public Transit,
Anaheim,Expenditure,Transportation,Airports,
Anaheim,Expenditure,Transportation,Ports and Harbors,
Anaheim,Expenditure,Transportation,Other,212853
Anaheim,Expenditure,Community Development,Planning,4885099
Anaheim,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Anaheim,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,18580895
Anaheim,Expenditure,Community Development,Redevelopment,3558663
Anaheim,Expenditure,Community Development,Housing,78258942
Anaheim,Expenditure,Community Development,Employment,3671633
Anaheim,Expenditure,Community Development,Community Promotion,9874004
Anaheim,Expenditure,Community Development,Other,11531757
Anaheim,Expenditure,Health,Physical and Mental Health,
Anaheim,Expenditure,Health,Hospitals and Sanitariums,
Anaheim,Expenditure,Health,Solid Waste,60077271
Anaheim,Expenditure,Health,Sewers,
Anaheim,Expenditure,Health,Cemeteries,
Anaheim,Expenditure,Health,Other,
Anaheim,Expenditure,Culture and Leisure,Parks and Recreation,23148460
Anaheim,Expenditure,Culture and Leisure,Marinas and Wharfs,
Anaheim,Expenditure,Culture and Leisure,Libraries,10423805
Anaheim,Expenditure,Culture and Leisure,Museums,818940
Anaheim,Expenditure,Culture and Leisure,Golf Courses,4153383
Anaheim,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,36644393
Anaheim,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Anaheim,Expenditure,Culture and Leisure,Other,2131411
Anaheim,Expenditure,Public Utilities,Water,75325000
Anaheim,Expenditure,Public Utilities,Gas,
Anaheim,Expenditure,Public Utilities,Electric,392844000
Anaheim,Expenditure,Public Utilities,Other,
Anaheim,Expenditure,Public Utilities,Other,
Anaheim,Total Expenditures,Total Expenditures,Total Expenditures,1015051731
Anderson,Expenditure,General Government,Legislative,270034
Anderson,Expenditure,General Government,Management and Support,858211
Anderson,Expenditure,Public Safety,Police,3579363
Anderson,Expenditure,Public Safety,Fire,
Anderson,Expenditure,Public Safety,Emergency Medical Services,
Anderson,Expenditure,Public Safety,Animal Regulation,
Anderson,Expenditure,Public Safety,Weed Abatement,
Anderson,Expenditure,Public Safety,Street Lighting,61071
Anderson,Expenditure,Public Safety,Disaster Preparedness,
Anderson,Expenditure,Public Safety,Other,
Anderson,Expenditure,Transportation,"Streets, Highways, and Storm Drains",2082038
Anderson,Expenditure,Transportation,Street Trees and Landscaping,
Anderson,Expenditure,Transportation,Parking Facilities,
Anderson,Expenditure,Transportation,Public Transit,
Anderson,Expenditure,Transportation,Airports,
Anderson,Expenditure,Transportation,Ports and Harbors,
Anderson,Expenditure,Transportation,Other,
Anderson,Expenditure,Community Development,Planning,568943
Anderson,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Anderson,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,364320
Anderson,Expenditure,Community Development,Redevelopment,
Anderson,Expenditure,Community Development,Housing,
Anderson,Expenditure,Community Development,Employment,
Anderson,Expenditure,Community Development,Community Promotion,39667
Anderson,Expenditure,Community Development,Other,651539
Anderson,Expenditure,Health,Physical and Mental Health,
Anderson,Expenditure,Health,Hospitals and Sanitariums,
Anderson,Expenditure,Health,Solid Waste,
Anderson,Expenditure,Health,Sewers,1893701
Anderson,Expenditure,Health,Cemeteries,
Anderson,Expenditure,Health,Other,24835
Anderson,Expenditure,Culture and Leisure,Parks and Recreation,966622
Anderson,Expenditure,Culture and Leisure,Marinas and Wharfs,
Anderson,Expenditure,Culture and Leisure,Libraries,
Anderson,Expenditure,Culture and Leisure,Museums,
Anderson,Expenditure,Culture and Leisure,Golf Courses,
Anderson,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Anderson,Expenditure,Culture and Leisure,Community Center and Auditoriums,
Anderson,Expenditure,Culture and Leisure,Other,
Anderson,Expenditure,Public Utilities,Water,1018993
Anderson,Expenditure,Public Utilities,Gas,
Anderson,Expenditure,Public Utilities,Electric,
Anderson,Expenditure,Public Utilities,Other,
Anderson,Expenditure,Public Utilities,Other,
Anderson,Total Expenditures,Total Expenditures,Total Expenditures,12379337
Angels,Expenditure,General Government,Legislative,10000
Angels,Expenditure,General Government,Management and Support,750845
Angels,Expenditure,Public Safety,Police,1592294
Angels,Expenditure,Public Safety,Fire,207636
Angels,Expenditure,Public Safety,Emergency Medical Services,125418
Angels,Expenditure,Public Safety,Animal Regulation,
Angels,Expenditure,Public Safety,Weed Abatement,
Angels,Expenditure,Public Safety,Street Lighting,27245
Angels,Expenditure,Public Safety,Disaster Preparedness,
Angels,Expenditure,Public Safety,Other,
Angels,Expenditure,Transportation,"Streets, Highways, and Storm Drains",743863
Angels,Expenditure,Transportation,Street Trees and Landscaping,
Angels,Expenditure,Transportation,Parking Facilities,
Angels,Expenditure,Transportation,Public Transit,
Angels,Expenditure,Transportation,Airports,
Angels,Expenditure,Transportation,Ports and Harbors,
Angels,Expenditure,Transportation,Other,
Angels,Expenditure,Community Development,Planning,151345
Angels,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Angels,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,272911
Angels,Expenditure,Community Development,Redevelopment,
Angels,Expenditure,Community Development,Housing,28000
Angels,Expenditure,Community Development,Employment,
Angels,Expenditure,Community Development,Community Promotion,
Angels,Expenditure,Community Development,Other,
Angels,Expenditure,Health,Physical and Mental Health,
Angels,Expenditure,Health,Hospitals and Sanitariums,
