City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Pismo Beach,7655,3.6,2126.388889,21,NA,0.133,0.055,0.048,0.359,0.027,0.26,0.027,1636,0.623,0.032,2.05,3761,0.177,2127,25782000,S,0.005,S,0.093,142703000,F,0.007,5585,0.911,8551,16779,0.85,NA,684500,0.088,0.859,-0.105,3.6,0.001,48654,0.517,132898000,0.931,63802,24,0,3,5,16,347,75,267,5,0
Pittsburg,63264,17.22,3673.867596,34.7,1526460000,0.275,0.136,0.319,0.158,0.156,0.086,0.073,3386,0.627,0.079,3.29,18696,0.196,3674.3,217852000,0.315,0.008,0.168,0.424,650002000,S,0.177,21126,0.365,56769,10474,0.2,NA,361100,0.473,0.821,0.114,17.22,0.01,22200,0.513,69850000,0.773,57828,154,6,4,83,61,2055,501,1046,508,2
Placentia,50533,6.57,7691.476408,26.4,478806000,0.246,0.109,0.251,0.363,0.149,0.126,0.04,4499,0.669,0.066,3.08,16083,0.258,7693.8,480084000,0.289,0.008,0.153,0.364,384536000,S,0.018,16872,0.621,46488,7845,0.447,NA,576400,0.368,0.864,0.087,6.57,0.001,30800,0.508,74315000,0.855,76678,85,0,5,23,57,844,158,614,72,5
Placerville,10389,5.81,1788.123924,25.5,NA,0.219,0.17,0.063,0.209,0.009,0.177,0.044,1452,0.584,0.064,2.56,3853,0.276,1787.5,3004000,0.295,0.016,S,0.179,287557000,F,0.008,4541,0.839,9610,29005,0.764,NA,325800,0.136,0.792,0.081,5.81,0.001,24027,0.525,38132000,0.861,52216,65,0,5,6,54,247,77,156,14,0
Pleasant Hill,33152,7.07,4689.108911,26.7,NA,0.198,0.069,0.203,0.484,0.136,0.139,0.055,4017,0.647,0.055,2.42,13438,0.287,4687.8,113823000,0.234,0.004,S,0.121,510784000,F,0.021,14321,0.749,32837,15691,0.679,NA,612900,0.234,0.827,0.01,7.07,0.002,41412,0.515,89347000,0.949,80671,94,1,2,43,48,1407,206,1085,116,13
Pleasanton,70285,24.11,2915.180423,29,590150000,0.271,0.035,0.227,0.552,0.232,0.109,0.048,8309,0.696,0.056,2.86,23716,0.243,2914.8,3957498000,0.307,0.003,0.145,0.103,1605092000,0.011,0.017,26053,0.67,63654,24388,0.608,NA,778000,0.298,0.851,0.104,24.11,0.002,48953,0.51,242269000,0.949,115188,78,0,4,24,50,1294,210,1002,82,6
Pomona,149058,22.95,6494.901961,28.8,1829291000,0.294,0.172,0.354,0.142,0.085,0.076,0.045,10261,0.558,0.081,3.79,38535,0.274,6494.3,1629748000,0.303,0.012,0.138,0.705,1102613000,0.072,0.073,40685,0.48,149473,7323,0.125,NA,355900,0.661,0.836,-0.003,22.95,0.002,16682,0.5,165655000,0.632,50497,877,16,37,323,501,4504,867,2406,1231,16
Port Hueneme,21723,4.45,4881.573034,21.9,NA,0.266,0.156,0.235,0.204,0.06,0.11,0.061,1096,0.508,0.086,2.88,7069,0.382,4880.5,D,S,0.014,F,0.523,71569000,F,0.051,8131,0.569,21845,3352,0.336,NA,387200,0.455,0.75,-0.006,4.45,0.005,22394,0.492,35103000,0.769,51555,65,1,6,11,47,375,103,229,43,4
Porterville,54165,17.61,3075.809199,21.1,243263000,0.335,0.259,0.197,0.11,0.047,0.094,0.047,3239,0.583,0.099,3.27,15809,0.209,3076.3,44615000,S,0.019,0.051,0.619,540146000,S,0.012,16734,0.588,39615,10581,0.303,NA,183200,0.459,0.854,0.367,17.61,0.001,16322,0.505,48793000,0.683,39838,222,4,11,59,148,1852,449,1154,249,0
Poway,47811,39.08,1223.413511,24.4,1317633000,0.25,0.043,0.157,0.453,0.102,0.123,0.043,5646,0.76,0.051,2.95,15998,0.157,1223.4,1444644000,0.214,0.006,0.065,0.157,1002759000,F,0.016,16715,0.769,48044,20847,0.691,NA,606000,0.209,0.875,-0.005,39.08,0.002,42499,0.507,81664000,0.936,97285,90,2,5,18,65,525,157,328,40,4
