City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Rolling Hills Estates,8067,3.57,2259.663866,30.1,NA,0.234,0.017,0.187,0.678,0.249,0.232,0.042,1598,0.91,0.036,2.74,2926,0.022,2260.3,284686000,0.355,0.002,0.19,0.062,147330000,F,0.014,3100,0.677,7676,18959,0.636,NA,1000001,0.23,0.93,0.051,3.57,0.001,74433,0.518,31431000,0.979,142763,15,0,0,3,12,137,30,101,6,0
Rosemead,53764,5.16,10419.37984,27.9,191395000,0.227,0.142,0.574,0.145,0.607,0.13,0.022,5476,0.51,0.054,3.67,14464,0.14,10415.3,220461000,0.292,0.007,S,0.338,453872000,F,0.005,14805,0.211,53505,8446,0.047,NA,470700,0.806,0.938,0.005,5.16,0.001,17749,0.507,87572000,0.609,46706,167,5,10,79,73,1118,221,695,202,2
Roseville,118788,5.16,23020.93023,25.9,2114736000,0.263,0.071,0.119,0.352,0.084,0.134,0.05,11321,0.671,0.068,2.58,43774,0.251,3279.4,2233831000,0.289,0.007,S,0.146,3923158000,S,0.02,47757,0.793,79921,36243,0.71,NA,385800,0.167,0.813,0.486,36.22,0.003,34046,0.521,344184000,0.932,75122,334,1,17,87,229,3802,542,3029,231,6
Sacramento,466488,97.92,4763.970588,23.8,3985478000,0.249,0.173,0.222,0.296,0.183,0.106,0.071,35990,0.506,0.075,2.59,173938,0.322,4764.2,8940109000,0.319,0.011,0.19,0.269,4307544000,0.085,0.146,190911,0.45,407018,9451,0.345,NA,311900,0.366,0.766,0.146,97.92,0.014,25427,0.513,1021402000,0.814,50267,4112,33,165,1491,2423,20200,5027,11179,3994,202
Salinas,150441,23.18,6490.120794,22.3,1232141000,0.314,0.181,0.374,0.135,0.063,0.075,0.051,7976,0.474,0.095,3.55,41009,0.352,6490.4,1588942000,S,0.013,0.082,0.75,1933218000,0.033,0.02,42651,0.458,151060,13663,0.155,NA,417400,0.676,0.837,-0.004,23.18,0.003,18474,0.495,190005000,0.595,50808,1162,19,23,365,755,4648,1358,2437,853,23
San Bernardino,209924,59.2,3546.013514,26.8,836982000,0.32,0.274,0.238,0.121,0.04,0.079,0.051,12685,0.519,0.093,3.32,60956,0.304,3546,2265428000,S,0.013,S,0.6,2845057000,0.165,0.15,65401,0.456,185401,14371,0.19,NA,243800,0.467,0.79,0.132,59.2,0.004,15616,0.507,330476000,0.667,39895,1624,31,66,632,895,8967,2318,4928,1721,61
San Bruno,41114,5.48,7502.554745,23.4,NA,0.21,0.072,0.375,0.338,0.254,0.127,0.066,3296,0.601,0.06,2.69,14909,0.374,7505.3,340450000,0.269,0.006,0.197,0.292,512687000,S,0.023,15356,0.495,40165,12991,0.36,NA,648400,0.494,0.866,0.024,5.48,0.033,33496,0.507,83302000,0.906,75576,81,1,5,30,45,909,127,641,141,2
Ventura,106433,33,3225.242424,22.4,457072000,0.225,0.094,0.141,0.315,0.034,0.133,0.052,11380,0.565,0.058,2.57,40265,0.271,4914.9,747755000,S,0.012,S,0.318,1980668000,0.013,0.016,42827,0.766,100916,19308,0.6,NA,532300,0.245,0.826,0.055,21.66,0.002,31864,0.506,309761000,0.871,65782,,,,,,,,,,
San Carlos,28406,5.9,4814.576271,25.1,846657000,0.236,0.033,0.185,0.591,0.115,0.142,0.051,4458,0.73,0.066,2.45,11332,0.261,5129.3,455566000,0.262,0.002,S,0.101,494533000,S,0.008,12018,0.792,27718,18548,0.732,NA,941000,0.189,0.885,0.025,5.54,0.002,58020,0.517,57204000,0.966,110929,,,,,,,,,,
San Clemente,63522,5.54,11466.06498,27.6,431546000,0.244,0.072,0.128,0.457,0.037,0.132,0.036,9187,0.664,0.065,2.61,23235,0.308,3394.9,914944000,0.237,0.006,0.052,0.168,580652000,S,0.006,25966,0.86,49936,9626,0.76,NA,840100,0.136,0.87,0.272,18.71,0.001,45864,0.498,122443000,0.948,84436,61,3,1,24,33,782,199,526,57,4
San Diego,1307402,325.19,4020.424982,22.4,12988977000,0.214,0.141,0.259,0.408,0.159,0.107,0.051,130529,0.495,0.062,2.6,474906,0.439,4020.4,21927745000,0.307,0.006,0.134,0.288,16525751000,0.034,0.067,516033,0.589,1223400,12735,0.451,NA,503700,0.388,0.801,0.069,325.19,0.005,32553,0.495,5154482000,0.864,62480,5616,29,300,1636,3651,30753,6387,17977,6389,155
San Dimas,33371,15.04,2218.816489,31.7,1850885000,0.209,0.054,0.199,0.32,0.105,0.155,0.049,4208,0.715,0.044,2.81,11586,0.171,2219.3,371254000,S,0.007,S,0.314,542022000,S,0.032,12506,0.72,34980,15568,0.523,NA,488300,0.273,0.868,-0.046,15.04,0.001,32345,0.525,64693000,0.929,74150,80,0,4,28,48,663,165,435,63,4
San Fernando,23645,2.37,9976.793249,26.1,840397000,0.294,0.172,0.364,0.086,0.01,0.084,0.037,1833,0.539,0.08,3.86,6095,0.18,9960,330520000,S,0.013,S,0.925,635246000,S,0.009,6291,0.51,23564,27077,0.053,NA,377000,0.79,0.909,0.003,2.37,0.001,15374,0.498,50008000,0.551,49716,63,0,0,24,39,379,79,213,87,3
San Francisco,805235,46.87,17180.17922,29.4,2077457000,0.134,0.119,0.356,0.512,0.333,0.136,0.047,105030,0.375,0.044,2.31,335956,0.666,17179.1,10562176000,0.301,0.005,0.24,0.151,12399960000,0.027,0.061,376942,0.485,776733,15516,0.419,NA,785200,0.454,0.84,0.037,46.87,0.004,45478,0.493,5039171000,0.857,71304,5747,48,133,3180,2386,32365,4557,23905,3903,156
San Gabriel,39718,4.14,9593.719807,28.1,NA,0.198,0.137,0.553,0.292,0.607,0.14,0.029,5276,0.477,0.052,3.16,12418,0.326,9582.1,220114000,0.267,0.006,0.615,0.257,440444000,S,0.01,13237,0.254,39804,11010,0.114,NA,569100,0.735,0.872,-0.002,4.15,0.001,24816,0.518,71586000,0.768,56720,85,0,2,37,46,566,164,342,60,1
San Jacinto,44199,25.72,1718.468118,36.7,83726000,0.328,0.172,0.233,0.117,0.03,0.106,0.057,2583,0.701,0.088,3.15,12954,0.085,1718.7,60036000,S,0.018,S,0.523,195582000,S,0.066,14977,0.572,23779,5341,0.351,NA,184000,0.426,0.802,0.859,25.72,0.003,18154,0.511,20983000,0.731,45567,108,2,6,50,50,1371,489,670,212,0
San Jose,945942,176.53,5358.53396,25.2,17377938000,0.248,0.108,0.386,0.366,0.32,0.101,0.05,71553,0.602,0.073,3.05,300111,0.309,5358.7,30166655000,0.307,0.009,0.309,0.332,11482367000,S,0.032,314038,0.428,894943,12329,0.287,NA,633800,0.554,0.852,0.057,176.53,0.004,33233,0.497,1714612000,0.824,79405,3215,20,253,976,1966,22081,3940,12730,5411,181
San Juan Capistrano,34593,14.12,2449.929178,24.8,229546000,0.246,0.114,0.235,0.367,0.028,0.156,0.035,4790,0.781,0.062,2.95,11475,0.157,2450.8,318670000,0.263,0.008,S,0.387,535917000,F,0.006,11940,0.771,33826,15637,0.558,NA,654900,0.338,0.889,0.023,14.12,0.001,41632,0.504,68528000,0.829,76686,41,0,3,15,23,503,116,348,39,5
San Leandro,84950,13.34,6368.065967,26.9,2061623000,0.223,0.086,0.338,0.269,0.297,0.138,0.056,6265,0.581,0.062,2.81,29282,0.312,6366.6,2428573000,0.264,0.008,0.299,0.274,1557857000,0.072,0.123,32419,0.376,79452,20243,0.271,NA,493300,0.476,0.87,0.069,13.34,0.008,27831,0.52,118544000,0.833,62609,347,4,10,209,124,3137,634,1911,592,15
San Luis Obispo,45119,12.78,3530.438185,14.7,166567000,0.122,0.313,0.092,0.45,0.052,0.12,0.04,5646,0.376,0.033,2.21,19734,0.397,3531.3,312901000,0.284,0.006,S,0.147,1283291000,F,0.012,20553,0.845,44174,29499,0.758,NA,588400,0.156,0.635,0.021,12.78,0.001,26204,0.478,223943000,0.917,40812,126,0,27,35,64,1686,372,1260,54,22
San Marcos,83781,24.37,3437.874436,27.1,1141630000,0.278,0.113,0.241,0.296,0.09,0.102,0.051,8435,0.634,0.084,3.05,25621,0.275,3437.9,799980000,0.287,0.007,0.078,0.366,1224561000,S,0.023,28641,0.635,54977,15824,0.486,NA,441400,0.396,0.842,0.524,24.37,0.004,26091,0.511,122480000,0.815,58897,237,1,16,70,150,1642,350,1054,238,5
San Marino,13147,3.77,3487.267905,25.7,NA,0.26,0.035,0.381,0.733,0.535,0.176,0.031,2260,0.935,0.039,2.97,4416,0.009,3490,98153000,S,Z,0.373,0.065,47829000,F,0.004,4477,0.413,12945,3763,0.371,NA,1000001,0.479,0.918,0.016,3.77,Z,75663,0.52,13448000,0.978,154962,13,0,0,1,12,224,69,153,2,0
San Mateo,97207,12.13,8013.767519,23.4,D,0.208,0.059,0.332,0.434,0.189,0.144,0.057,11260,0.55,0.068,2.49,37705,0.443,8013.8,438303000,0.276,0.005,0.171,0.266,1652191000,0.011,0.024,40014,0.578,92482,18254,0.465,NA,769000,0.415,0.861,0.051,12.13,0.021,44949,0.512,306425000,0.886,83850,292,1,24,82,185,1905,242,1464,199,19
San Pablo,29139,2.63,11079.46768,29.5,NA,0.283,0.183,0.451,0.124,0.149,0.088,0.054,1407,0.486,0.083,3.26,8776,0.445,11062.6,D,0.274,0.008,S,0.565,222795000,S,0.158,9571,0.322,30215,7329,0.101,NA,298800,0.691,0.819,-0.036,2.63,0.006,17286,0.503,29762000,0.646,43872,241,2,7,109,123,1369,296,560,513,6
San Rafael,57713,16.47,3504.128719,25.1,154394000,0.193,0.103,0.274,0.458,0.061,0.158,0.051,9998,0.539,0.062,2.3,23379,0.423,3504.1,1049618000,0.288,0.012,S,0.3,1657511000,S,0.02,24011,0.706,56063,30014,0.59,NA,811000,0.346,0.82,0.029,16.47,0.002,41968,0.501,136384000,0.844,72326,236,3,34,82,117,1603,312,1030,261,12
San Ramon,72148,18.06,3994.905869,31.2,NA,0.296,0.029,0.279,0.583,0.356,0.078,0.053,7174,0.73,0.079,2.82,23734,0.256,3994.7,2534783000,0.353,0.003,0.242,0.087,679127000,0.009,0.028,26222,0.536,44722,13998,0.485,NA,765400,0.351,0.844,0.613,18.06,0.002,48952,0.509,161826000,0.967,120326,35,0,6,17,12,975,215,693,67,7
Sanger,24270,5.52,4396.73913,24,169663000,0.336,0.246,0.251,0.094,0.031,0.094,0.035,956,0.569,0.095,3.62,6416,0.218,4393.6,D,S,0.013,S,0.805,189039000,S,0.009,7104,0.596,18931,7559,0.146,NA,195800,0.505,0.821,0.282,5.52,0.002,15227,0.506,14599000,0.601,42444,158,2,14,24,118,1105,271,665,169,4
Santa Ana,324528,27.27,11900.55006,24.9,5339942000,0.307,0.179,0.494,0.12,0.105,0.068,0.036,22536,0.492,0.089,4.3,74381,0.415,11900.6,2881466000,0.281,0.01,0.182,0.782,3346127000,S,0.015,76896,0.459,337977,9974,0.092,NA,417400,0.826,0.815,-0.04,27.27,0.003,16613,0.489,447400000,0.514,54877,1510,28,88,719,675,6580,1116,4189,1275,139
Santa Barbara,88410,19.47,4540.832049,16.3,233313000,0.186,0.141,0.239,0.423,0.035,0.142,0.039,14003,0.426,0.055,2.42,35335,0.422,4541.3,558948000,0.274,0.01,0.049,0.38,1729595000,0.012,0.016,37820,0.751,92325,20269,0.548,NA,969200,0.36,0.782,-0.042,19.47,0.001,36601,0.504,447119000,0.845,61665,341,3,28,92,218,2528,487,1939,102,12
Santa Clara,116468,18.41,6326.344378,21.2,5296256000,0.213,0.086,0.394,0.488,0.377,0.1,0.053,11411,0.458,0.078,2.59,42323,0.478,6327.4,7464794000,0.261,0.005,0.345,0.194,1806682000,0.024,0.027,45147,0.45,102361,16719,0.361,NA,643800,0.491,0.78,0.138,18.41,0.006,38422,0.495,455286000,0.909,85294,182,2,7,62,111,3016,481,2210,325,16
Santa Clarita,176320,52.72,3344.461305,32.7,1860404000,0.262,0.076,0.206,0.322,0.085,0.096,0.047,17801,0.726,0.063,2.97,57328,0.254,3344.7,6452935000,S,0.006,0.096,0.295,2903219000,0.031,0.032,62055,0.709,151088,17346,0.561,NA,465700,0.296,0.859,0.167,52.72,0.002,32862,0.507,301499000,0.88,82642,375,1,21,123,230,2670,574,1853,243,18
Santa Cruz,59946,12.74,4705.33752,22.1,310852000,0.137,0.178,0.13,0.517,0.077,0.088,0.057,7116,0.455,0.039,2.38,21718,0.32,4705.3,622435000,S,0.007,S,0.194,830524000,S,0.018,23316,0.745,54593,15118,0.667,NA,735600,0.214,0.701,0.098,12.74,0.002,31569,0.499,193044000,0.91,61207,553,6,31,120,396,2936,495,2262,179,20
Santa Fe Springs,16223,8.87,1828.97407,29,4381890000,0.264,0.089,0.203,0.089,0.042,0.133,0.042,4040,0.562,0.06,3.45,4513,0.334,1828.1,12829387000,0.167,0.014,0.164,0.81,673605000,F,0.023,4976,0.586,17438,40062,0.119,NA,426700,0.531,0.86,-0.07,8.87,0.002,18466,0.518,74311000,0.72,54252,73,2,1,38,32,1206,186,842,178,2
Santa Maria,99553,22.76,4374.033392,21.6,666785000,0.314,0.177,0.352,0.129,0.051,0.094,0.051,5598,0.515,0.099,3.53,26483,0.273,4374.8,673725000,0.319,0.018,0.102,0.704,1448801000,F,0.017,28294,0.562,77423,17008,0.217,NA,338800,0.615,0.798,0.286,22.76,0.002,18301,0.495,150500000,0.626,50208,771,3,32,152,584,2319,506,1496,317,8
Santa Monica,89736,8.41,10670.15458,24.9,255955000,0.14,0.111,0.23,0.629,0.09,0.15,0.044,23259,0.29,0.041,1.84,46543,0.769,10663.8,3259444000,0.319,0.004,0.082,0.131,4944710000,0.027,0.039,50912,0.776,84084,57532,0.701,NA,985500,0.257,0.822,0.067,8.42,0.001,58399,0.518,791318000,0.95,68842,392,1,12,167,212,3120,413,2541,166,26
Santa Paula,29321,4.59,6388.017429,25.6,123827000,0.297,0.181,0.295,0.11,0.007,0.106,0.037,1706,0.533,0.087,3.44,8433,0.238,6383.8,D,S,0.016,S,0.795,168595000,F,0.005,8749,0.63,28598,5924,0.185,NA,415900,0.59,0.866,0.025,4.59,0.001,19552,0.495,21967000,0.637,51233,101,1,3,26,71,517,100,376,41,2
Santa Rosa,167815,41.29,4064.301284,22.8,1124231000,0.234,0.122,0.196,0.292,0.052,0.135,0.051,16481,0.562,0.068,2.56,62558,0.27,4063.9,1522521000,0.287,0.017,0.057,0.286,2977174000,0.014,0.024,67396,0.71,147595,19443,0.597,NA,468600,0.284,0.816,0.137,41.29,0.005,29794,0.512,300157000,0.846,59326,767,2,56,166,543,4096,757,3041,298,9
Santee,53413,16.24,3288.977833,24.5,232065000,0.238,0.063,0.094,0.191,0.038,0.107,0.054,4495,0.713,0.066,2.79,18193,0.244,3290,152842000,0.267,0.008,0.06,0.163,672920000,0.014,0.02,20048,0.825,52975,12778,0.736,NA,376900,0.155,0.875,0.008,16.23,0.005,27493,0.517,68405000,0.882,68189,153,0,9,22,122,959,172,628,159,7
Saratoga,29926,12.38,2417.285945,25,NA,0.24,0.042,0.337,0.768,0.414,0.203,0.036,3532,0.847,0.033,2.79,10468,0.09,2416.9,75860000,S,0.001,S,0.035,108808000,S,0.003,11123,0.539,29843,3646,0.516,NA,1000001,0.402,0.912,0.003,12.38,0.001,72408,0.511,38475000,0.977,145023,22,0,1,9,12,265,92,164,9,6
Sausalito,7061,1.77,3989.265537,26.6,NA,0.087,0.06,0.13,0.721,0.048,0.212,0.025,2890,0.48,0.043,1.62,4320,0.406,3987,86000000,0.285,0.002,S,0.041,92938000,F,0.009,4536,0.906,7330,13090,0.874,NA,1000001,0.086,0.841,-0.037,1.77,0.001,90590,0.526,65232000,0.982,101910,9,0,1,0,8,195,43,141,11,0
Scotts Valley,11580,4.59,2522.875817,23.2,303443000,0.247,0.041,0.101,0.463,0.051,0.136,0.049,1414,0.754,0.054,2.61,4297,0.163,2520.1,D,0.453,0.005,S,0.1,176622000,F,0.009,4610,0.86,11385,15888,0.8,NA,659600,0.112,0.862,0.017,4.6,0.002,43595,0.512,32345000,0.967,101673,13,0,3,2,8,247,46,195,6,4
Seal Beach,24168,11.29,2140.655447,28.7,NA,0.13,0.069,0.125,0.419,0.096,0.383,0.035,2893,0.767,0.032,1.85,12823,0.558,2141.4,240022000,S,0.003,S,0.096,262752000,S,0.012,14558,0.834,24157,11025,0.769,NA,329000,0.131,0.882,0,11.29,0.002,42993,0.559,79668000,0.944,50014,47,1,4,5,37,524,122,374,28,5
Seaside,33025,9.24,3574.134199,18.7,NA,0.27,0.116,0.321,0.181,0.097,0.086,0.079,1676,0.456,0.089,3.1,10112,0.207,3575.3,33564000,0.365,0.011,S,0.434,563282000,0.129,0.084,10872,0.484,31696,17000,0.325,NA,556700,0.47,0.734,0.042,9.24,0.016,21961,0.499,56641000,0.719,57713,129,1,10,21,97,592,139,402,51,8
Sebastopol,7379,1.85,3988.648649,21.9,NA,0.205,0.059,0.068,0.386,0.016,0.174,0.041,1594,0.527,0.046,2.23,3219,0.254,3982.2,67444000,S,0.008,F,0.12,171594000,F,0.01,3465,0.882,7774,23073,0.819,NA,579500,0.096,0.891,-0.051,1.85,0.003,32368,0.556,27565000,0.931,53008,17,0,0,5,12,221,77,134,10,0
Selma,23219,5.14,4517.315175,23.3,101395000,0.321,0.22,0.289,0.116,0.046,0.099,0.038,1412,0.623,0.088,3.66,6173,0.154,4520.8,198934000,S,0.021,S,0.776,457374000,0.029,0.012,6813,0.554,19444,20249,0.158,NA,228800,0.517,0.865,0.194,5.14,Z,15416,0.499,30965000,0.628,44778,141,0,3,41,97,1355,293,735,327,13
Shafter,16988,27.94,608.0171797,23.3,D,0.36,0.218,0.293,0.067,0.007,0.066,0.038,1029,0.57,0.102,3.59,4430,0.182,607.9,143114000,0.416,0.012,S,0.803,72824000,F,0.013,4521,0.48,12736,4739,0.17,NA,195300,0.684,0.803,0.334,27.95,0.001,13403,0.486,7422000,0.556,35915,43,0,7,11,25,549,178,285,86,16
Shasta Lake,10164,10.929,930.002745,18,NA,0.243,0.164,0.062,0.103,0.023,0.144,0.05,864,0.745,0.065,2.69,3743,0.077,930.7,D,S,0.038,S,0.085,57246000,F,0.007,4209,0.861,9008,5633,0.815,NA,207500,0.082,0.866,0.128,10.92,0.001,19770,0.501,D,0.83,43895,,,,,,,,,,
Sierra Madre,10917,2.95,3700.677966,27.9,NA,0.192,0.069,0.128,0.575,0.076,0.174,0.043,1912,0.605,0.047,2.36,4605,0.242,3696.9,D,0.3,0.004,S,0.149,16217000,F,0.018,5113,0.821,10578,1513,0.723,NA,800800,0.174,0.929,0.032,2.95,0.001,51429,0.527,6672000,0.966,82675,14,0,0,4,10,186,58,126,2,0
Signal Hill,11016,2.19,5030.136986,24.4,238551000,0.238,0.079,0.255,0.424,0.204,0.083,0.057,1601,0.514,0.075,2.5,4274,0.538,5032.4,305953000,S,0.008,S,0.315,906784000,S,0.136,4389,0.422,9333,84344,0.303,NA,461800,0.42,0.859,0.18,2.19,0.012,36509,0.507,32523000,0.892,70286,40,0,3,17,20,428,86,275,67,0
Simi Valley,124237,41.48,2995.106075,30.1,831588000,0.25,0.058,0.189,0.313,0.093,0.106,0.046,13188,0.753,0.061,3.02,40244,0.176,2995.1,852462000,0.262,0.006,0.078,0.233,1689617000,S,0.014,42506,0.753,111351,14155,0.628,NA,553400,0.259,0.885,0.116,41.48,0.001,35159,0.509,204850000,0.9,88675,129,1,14,37,77,2209,388,1687,134,6
Solana Beach,12867,3.52,3655.397727,20.9,NA,0.185,0.076,0.163,0.595,0.04,0.187,0.034,3131,0.584,0.048,2.28,5605,0.328,3655.4,91600000,S,0.005,S,0.159,214639000,S,0.005,6540,0.858,12979,17021,0.773,NA,1000001,0.222,0.842,-0.009,3.52,0.001,54097,0.506,D,0.944,86908,43,1,4,13,25,248,65,162,21,0
Soledad,25738,4.41,5836.281179,26.9,NA,0.22,0.155,0.311,0.053,0.029,0.046,0.029,651,0.643,0.061,3.94,3794,0.146,5831,D,S,0.014,S,0.711,72732000,F,0.114,3876,0.491,11263,2623,0.133,NA,396600,0.642,0.79,1.285,4.41,0.004,10118,0.298,12790000,0.54,50912,75,1,4,24,46,331,163,133,35,1
Solvang,5245,2.43,2158.436214,20.3,NA,0.209,0.06,0.192,0.348,0.014,0.209,0.026,785,0.591,0.053,2.43,2136,0.315,2162.9,12722000,0.064,0.011,F,0.292,65876000,F,0.007,2485,0.825,5332,12889,0.669,NA,723900,0.263,0.791,-0.016,2.43,Z,38624,0.518,39810000,0.866,61289,8,0,1,1,6,55,16,37,2,0
Sonoma,10648,2.74,3886.131387,25.5,NA,0.18,0.056,0.113,0.39,0.028,0.25,0.025,2063,0.606,0.044,2.09,4813,0.253,3883.3,57794000,S,0.005,0.014,0.153,227680000,F,0.005,5544,0.868,9128,23221,0.792,NA,627800,0.168,0.808,0.167,2.74,0.002,39730,0.545,176607000,0.953,65728,33,2,3,1,27,225,61,159,5,5
South El Monte,20116,2.84,7083.098592,27.6,908879000,0.3,0.156,0.496,0.092,0.11,0.089,0.034,2914,0.538,0.084,4.35,4655,0.14,7075.6,1302166000,S,0.012,0.321,0.849,329807000,S,0.005,4711,0.504,21144,15498,0.034,NA,382200,0.848,0.929,-0.049,2.84,0.001,14147,0.495,23961000,0.517,46037,134,3,4,45,82,477,93,247,137,5
South Gate,94396,7.24,13038.12155,28.3,2260330000,0.311,0.185,0.456,0.067,0.008,0.07,0.037,6733,0.446,0.084,3.97,23828,0.279,13045.3,717366000,S,0.009,S,0.948,786992000,S,0.009,24160,0.505,96375,8228,0.034,NA,376700,0.885,0.918,-0.021,7.24,0.001,13913,0.509,62202000,0.511,43268,598,7,13,326,252,2603,484,1295,824,14
South Lake Tahoe,21403,10.16,2106.594488,16,NA,0.206,0.177,0.196,0.217,0.055,0.098,0.037,2580,0.446,0.063,2.42,9008,0.309,2106.4,31304000,S,0.011,S,0.311,326234000,0.016,0.009,15087,0.735,23609,13951,0.599,NA,386500,0.311,0.8,-0.093,10.16,0.002,23448,0.468,146073000,0.838,44217,164,0,14,26,124,377,171,190,16,5
South Pasadena,25619,3.41,7512.903226,27.4,NA,0.234,0.066,0.293,0.64,0.311,0.121,0.055,3906,0.456,0.052,2.43,10423,0.497,7523.9,163458000,S,0.004,0.234,0.186,192344000,F,0.03,11118,0.543,24292,7944,0.436,NA,828100,0.379,0.862,0.055,3.41,Z,48108,0.525,39696000,0.959,82340,25,0,8,13,4,423,107,262,54,1
South San Francisco,63632,9.14,6961.925602,23.5,D,0.217,0.063,0.414,0.315,0.366,0.131,0.061,4986,0.608,0.062,2.97,20831,0.258,6961.2,3150072000,0.214,0.006,0.308,0.34,791902000,0.028,0.026,21814,0.373,60552,12982,0.22,NA,648500,0.594,0.896,0.051,9.14,0.017,31163,0.506,289637000,0.848,74158,152,5,13,54,80,1479,458,808,213,30
St. Helena,5814,4.99,1165.130261,24.9,D,0.22,0.057,0.222,0.467,0.017,0.193,0.025,968,0.533,0.054,2.27,2564,0.251,1166.1,183739000,S,0.006,S,0.329,167942000,F,0.004,2776,0.778,5950,28966,0.634,NA,956200,0.28,0.824,-0.023,4.99,0.002,48094,0.531,61436000,0.89,65741,12,0,0,2,10,127,18,102,7,0
Stanton,38186,3.15,12122.53968,28.8,131320000,0.277,0.157,0.429,0.166,0.231,0.1,0.042,2009,0.494,0.079,3.27,11521,0.446,12122.5,99968000,S,0.011,S,0.508,347496000,F,0.022,11283,0.445,37403,9362,0.218,NA,331300,0.64,0.862,0.021,3.15,0.006,20444,0.505,51920000,0.671,51539,156,2,1,63,90,643,151,405,87,4
Stockton,291707,61.67,4730.128101,27,2506558000,0.299,0.198,0.271,0.177,0.215,0.1,0.069,16488,0.543,0.084,3.11,90375,0.271,4730.1,3701777000,0.346,0.011,S,0.403,3340068000,0.096,0.122,99637,0.37,243771,11739,0.229,NA,276600,0.447,0.789,0.197,61.67,0.006,20176,0.51,343526000,0.737,47946,4033,49,107,1413,2464,16177,4482,9654,2041,62
Suisun City,28111,4.11,6839.659367,31.3,NA,0.275,0.089,0.228,0.193,0.19,0.077,0.1,1352,0.729,0.075,3.2,8668,0.122,6848,D,0.254,0.007,0.233,0.24,172452000,S,0.203,9454,0.384,26118,6435,0.292,NA,341400,0.345,0.823,0.076,4.11,0.012,25166,0.508,17508000,0.861,71795,81,2,14,33,32,665,158,426,81,0
Sunnyvale,140081,21.99,6370.213734,22.2,10241234000,0.224,0.062,0.439,0.561,0.409,0.112,0.045,11126,0.489,0.08,2.54,53428,0.459,6371.1,10557761000,0.317,0.005,0.366,0.189,1863086000,S,0.02,55791,0.43,131760,14390,0.345,NA,707900,0.529,0.83,0.063,21.99,0.005,43828,0.496,276670000,0.909,90174,169,0,26,59,84,2227,407,1574,246,51
Susanville,17947,7.93,2263.177806,15.3,NA,0.143,0.174,0.048,0.132,0.011,0.066,0.032,777,0.524,0.043,2.32,5581,0.158,2262.9,D,S,0.034,S,0.237,201626000,F,0.125,4256,0.628,13541,11427,0.554,NA,188800,0.149,0.692,0.325,7.93,0.006,19156,0.268,26365000,0.805,45198,82,1,6,11,64,359,134,208,17,0
Taft,9327,15.11,617.2733289,19.8,NA,0.198,0.129,0.248,0.1,0.01,0.084,0.026,398,0.63,0.058,2.79,2430,0.174,617.2,13818000,0.126,0.013,F,0.359,131073000,F,0.042,2525,0.792,6400,14520,0.56,NA,203300,0.341,0.693,0.457,15.11,0.007,15999,0.349,D,0.678,46324,37,0,1,7,29,343,87,219,37,2
Tehachapi,14414,9.87,1460.385005,19.2,NA,0.18,0.143,0.143,0.09,0.017,0.088,0.035,1225,0.615,0.052,2.62,2898,0.172,1459.8,D,0.265,0.014,S,0.379,158908000,F,0.09,3539,0.654,10957,13203,0.494,NA,188300,0.301,0.649,0.316,9.87,0.001,16233,0.299,20275000,0.698,46067,23,0,1,3,19,304,100,188,16,0
Temecula,100097,30.15,3319.966833,32.8,1929181000,0.307,0.082,0.151,0.31,0.098,0.078,0.059,10547,0.715,0.07,3.15,30418,0.171,3319.9,2112062000,0.297,0.011,0.067,0.247,2371334000,0.028,0.041,34004,0.708,57716,25497,0.572,NA,384200,0.225,0.83,0.734,30.15,0.004,29089,0.51,303969000,0.919,77850,74,2,3,42,27,2351,535,1642,174,5
