City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Clarksburg ,F,17.4,NA,0.219,0.277,0.007,F,0.157,0.003,0.163,F,16578,0.024,1877,0.595,0.066,2.39,15628,6826,0.249,1701.2,129139000,0.292,0.002,F,0.016,572246000,F,0.039,8132,0.929,16743,35193,0.917,NA,78100,0.018,0.809,-0.01,9.75,Z,17367,0.52,52761000,0.828,32078
Cross Lanes ,F,24.6,NA,0.208,0.098,0.016,F,0.302,0.012,0.139,F,9995,0.017,889,0.695,0.055,2.27,19108,4068,0.2,1566.9,6412000,0.238,0.002,0.038,0.011,117903000,F,0.047,4580,0.918,10353,NA,0.911,NA,122200,0.019,0.879,-0.035,6.38,Z,28902,0.515,26601000,0.923,48361
St. Albans ,F,21.1,NA,0.195,0.067,0.011,F,0.218,0.005,0.206,F,11044,0.016,887,0.733,0.054,2.33,71212,4754,0.166,3054.2,50192000,0.218,0.003,F,0.008,327718000,F,0.034,5436,0.94,11567,29874,0.935,NA,97300,0.015,0.882,-0.045,3.62,0,22612,0.531,20305000,0.899,41956
Wheeling ,F,16.9,D,0.185,0.199,0.016,F,0.248,0.009,0.206,F,28486,0.024,3061,0.631,0.051,2.17,86452,12955,0.316,2065.5,D,0.235,0.002,S,0.009,402129000,S,0.051,14661,0.912,31419,13855,0.906,NA,91000,0.028,0.865,-0.093,13.79,Z,21968,0.531,76523000,0.881,32779
Hurricane ,F,22.6,NA,0.255,0.072,0.008,F,0.266,0.007,0.135,F,6284,0.012,808,0.827,0.065,2.66,39532,2359,0.102,1678.9,248690000,0.338,0.002,F,0.009,155422000,F,0.01,2627,0.967,5222,24983,0.959,NA,117500,0.023,0.915,0.203,3.74,Z,24544,0.521,19728000,0.875,54770
Princeton ,F,19.5,114572000,0.194,0.219,0.029,F,0.148,0.008,0.207,F,6432,0.018,1284,0.645,0.056,2.23,65692,2843,0.231,2139,15634000,0.351,0.003,F,0.011,156550000,F,0.063,3489,0.907,6347,25181,0.9,NA,81000,0.036,0.893,0.013,3.01,0,17139,0.535,29818000,0.83,26705
Huntington ,F,16.4,1725063000,0.18,0.294,0.019,F,0.24,0.011,0.152,F,49138,0.027,4084,0.536,0.055,2.19,39460,21613,0.316,3029.3,477567000,0.22,0.003,F,0.014,548118000,0.045,0.086,25146,0.869,51475,11137,0.861,NA,81500,0.033,0.771,-0.045,16.22,Z,19648,0.514,121997000,0.859,27858
Grafton ,S,27.9,NA,0.219,0.242,0.011,S,0.117,0.002,0.19,S,5164,0.015,S,0.661,0.067,2.28,32716,2244,0.195,1407.1,D,S,0.003,S,0.009,86046000,S,0.007,2512,0.971,5489,16177,0.965,NA,57400,0.014,0.885,-0.059,3.67,0,15208,0.524,6960000,0.753,26494
Bluefield ,F,16.8,D,0.208,0.271,0.018,F,0.242,0.005,0.192,F,10447,0.023,1213,0.657,0.062,2.18,8524,4760,0.173,1179.7,107701000,0.348,0.003,S,0.009,222592000,0.087,0.23,5457,0.737,11451,20203,0.734,NA,74200,0.031,0.834,-0.088,8.86,0,21201,0.532,16875000,0.901,31371
Moundsville ,F,20.1,NA,0.194,0.213,0.014,F,0.097,0.004,0.201,F,9318,0.009,926,0.71,0.052,2.1,56020,4084,0.116,3205.4,D,0.283,0.002,S,0.011,202106000,F,0.008,4458,0.975,9998,21805,0.967,NA,71200,0.021,0.857,-0.068,2.91,0,25092,0.521,15728000,0.803,28496
