City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Bettendorf ,Iowa,F,17.4,1350559000,0.255,0.058,0.035,F,0.441,0.031,0.148,F,"33,217",0.018,"3,070",0.777,0.06,2.43,6355,"13,329",0.199,"1,565.60",503925000,0.263,0.002,0.028,0.036,306936000,S,0.022,"14,437",0.919,"31,275","$9,470 ",0.894,NA,"$164,300 ",0.062,0.863,0.062,21.22,0.001,"$35,932 ",0.514,153574000,0.956,"$65,604 "
Clarinda ,Iowa,F,13.1,D,0.211,0.116,0.016,F,0.16,0.015,0.18,F,"5,572",0.017,532,0.689,0.053,2.04,13575,"1,765",0.167,"1,074.20",D,S,0.011,F,0.032,89303000,F,0.056,"2,180",0.892,"5,690","$16,030 ",0.873,NA,"$78,000 ",0.089,0.626,-0.021,5.19,0.001,"$18,539 ",0.424,6842000,0.809,"$35,259 "
Waverly ,Iowa,F,13.9,621724000,0.204,0.152,0.025,F,0.348,0.012,0.168,F,"9,874",0.014,"1,033",0.774,0.055,2.47,82875,"3,504",0.186,897.1,48538000,0.284,0.001,F,0.013,195602000,F,0.017,"3,732",0.953,"8,968","$21,116 ",0.945,NA,"$136,200 ",0.04,0.802,0.101,11.01,0,"$24,289 ",0.526,14865000,0.939,"$53,566 "
Mason City ,Iowa,F,13.4,1210263000,0.219,0.151,0.025,F,0.204,0.009,0.171,0.02,"28,079",0.019,"2,537",0.679,0.062,2.14,50160,"12,772",0.206,"1,009.80",323807000,0.227,0.003,F,0.051,718970000,F,0.018,"13,352",0.938,"29,172","$26,203 ",0.906,NA,"$97,300 ",0.052,0.828,-0.037,27.81,Z,"$24,277 ",0.518,55410000,0.917,"$40,706 "
Harlan ,Iowa,F,14.1,NA,0.238,0.13,0.005,F,0.178,0.006,0.218,F,"5,106",0.009,681,0.726,0.061,2.16,34500,"2,335",0.219,"1,162.60",78370000,0.213,0.004,F,0.019,99807000,F,0.005,"2,410",0.97,"5,282","$19,736 ",0.958,NA,"$105,300 ",0.033,0.864,-0.033,4.39,Z,"$22,803 ",0.536,5938000,0.898,"$39,313 "
Knoxville ,Iowa,F,19.9,D,0.247,0.132,0.011,F,0.16,0.005,0.191,F,"7,313",0.01,731,0.695,0.072,2.22,42015,"3,257",0.204,"1,581.20",D,S,0.003,F,0.019,125754000,F,0.011,"3,527",0.969,"7,731","$17,177 ",0.954,NA,"$93,500 ",0.024,0.814,-0.054,4.63,Z,"$21,594 ",0.517,9846000,0.882,"$41,155 "
Oskaloosa ,Iowa,F,15.4,228732000,0.234,0.201,0.022,F,0.191,0.017,0.171,F,"11,463",0.018,"1,051",0.656,0.073,2.3,59925,"4,614",0.202,"1,543.00",501900000,0.324,0.003,F,0.024,222271000,F,0.02,"5,144",0.933,"10,938","$20,384 ",0.921,NA,"$83,600 ",0.034,0.775,0.048,7.43,Z,"$19,651 ",0.512,15343000,0.855,"$37,909 "
Clear Lake ,Iowa,F,15.5,D,0.207,0.073,0.029,F,0.255,0.012,0.202,F,"7,777",0.014,802,0.75,0.052,2.15,14025,"3,591",0.216,720.3,49021000,0.232,0.001,F,0.022,150975000,F,0.005,"4,423",0.963,"8,161","$19,309 ",0.947,NA,"$134,600 ",0.046,0.901,-0.047,10.8,Z,"$27,262 ",0.518,25728000,0.946,"$47,242 "
Pleasant Hill ,Iowa,F,19.7,NA,0.274,0.057,0.037,F,0.29,0.025,0.113,F,"8,785",0.026,624,0.798,0.084,2.63,63525,"3,019",0.13,960.3,D,0.197,0.003,F,0.045,65675000,F,0.027,"3,587",0.91,"5,070","$8,437 ",0.881,NA,"$174,000 ",0.051,0.848,0.733,9.15,0,"$29,130 ",0.532,8919000,0.951,"$71,868 "
Coralville ,Iowa,F,17.4,D,0.223,0.142,0.126,F,0.536,0.078,0.075,0.025,"18,907",0.026,"1,447",0.557,0.073,2.33,16230,"7,321",0.439,"1,574.80",211538000,0.323,0.003,0.035,0.051,647217000,S,0.079,"8,310",0.794,"15,123","$35,276 ",0.765,NA,"$178,700 ",0.147,0.739,0.25,12.01,0.001,"$28,521 ",0.485,119672000,0.954,"$51,120 "
