2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Contracts Administrator,0.6,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engineer,2.7,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engr Tech III,2.3,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Heavy Equip Oper,0.2,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Landscape Architect/Pk Planner,1,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Management Analyst,1,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Fac Maint & Proj,0.2,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Maint Oper,0.5,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Program Assistant I,1,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Engineer,3.8,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Mgr,0.5,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Engineer,2.05,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Financial Anlyst,0.6,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supt Pw Opns,0.2,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Facil Mgt,0.05,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Insp/Surv Pw,0.2,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveying Asst,0.11,0
2011,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveyor Public Wks,0.11,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Administrative Associate I,0.8,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Administrative Associate III,1,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Assoc Engineer,0.6,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Asst Dir Public Wrks,0.15,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Cement Finisher,3,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Cement Finisher Lead,1,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Contracts Administrator,0.6,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engineer,2.7,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engr Tech III,2.3,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Heavy Equip Oper,0.2,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Landscape Architect/Pk Planner,1,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Management Analyst,1.25,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Fac Maint & Proj,0,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Maint Oper,0.9,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Program Assistant I,1,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Engineer,3.8,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Mgr,0.5,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Engineer,2.55,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Financial Anlyst,0.6,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supt Pw Opns,0,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Facil Mgt,0,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Insp/Surv Pw,0.2,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveying Asst,0.11,0
2012,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveyor Public Wks,0.11,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Facil Mgt,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Program Assistant I,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Financial Anlyst,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Contracts Administrator,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supt Pw Opns,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Asst Dir Public Wrks,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Maint Oper,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Sr. Engineer,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Management Analyst,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Cement Finisher Lead,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Administrative Associate I,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Mgr Fac Maint & Proj,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Engineer,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engineer,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Engr Tech III,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Administrative Associate III,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Project Mgr,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveying Asst,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Landscape Architect/Pk Planner,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Surveyor Public Wks,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Supv Insp/Surv Pw,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Cement Finisher,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Heavy Equip Oper,0,0
2013,Capital Funds,Capital Improvement Fund,Capital Fund,Capital Improvement,Assoc Engineer,0,0
2009,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0,0
2010,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0,0
2011,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0,0
2012,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0,0
2013,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0.28,17552
2013,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0.1,6269
2013,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0.1,6269
2013,Capital Funds,Capital Improvement Fund,Community Services,CSD - Capital Improvement,Program Assistant I,0.52,32597
2009,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Asst Director Adm Svcs,0,0
2009,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Airport Manager,0,0
2010,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Asst Director Adm Svcs,0,0
2010,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Airport Manager,0,0
2011,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Asst Director Adm Svcs,0,0
2011,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Airport Manager,0,0
2012,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Asst Director Adm Svcs,0,0
2012,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Airport Manager,0,0
2013,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Airport Manager,1,130896
2013,Enterprise Funds,Airport Enterprise,Airport,Airport Enterprise ,Asst Director Adm Svcs,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Accountant,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Acct Spec,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Admin Assistant,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Administrative Associate I,2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Administrative Associate II,7,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assistant Director Utilities Engineering,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assistant Director Utilities Operations,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assistant Director Utl Cust Support Svs,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assoc Power Engr,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assoc Res Planner,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Assoc Res Planner,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst Dir Ut/Adm Svcs,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst Dir Ut/Res Mgmt,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst Director Adm Svcs,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst Power Engr,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst Res Planner,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Asst To City Mgr,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Business Analyst,2.87,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cathodic Protection Technician Assistant,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cathodic Tech,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cement Finisher,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Chf Elec Undg Inspec,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Chf Inspec Wgw,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Communication Mgr,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Contracts Administrator,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Coord Util Saf & Sec,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Coord Utility Proj,4,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cust Srv Specialist-L,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cust Svc Represent,5,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Cust Svc Spec,2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Deputy Chief/Fire Marshall,0.08,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Deputy Dir Adm Svcs,0.2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Dir Adm Svcs/Chief Financial Officer,0.15,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Dir Utilities,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Elec Asst I,5,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Elec Undgd Inspec,2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Electric Project Engineer,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Electric Underground Inspector - Lead,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Electrician,14,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Electrician-Appren,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Electrician-Lead,6,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Engineer,4,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Engr Mgr - Electric,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Engr Mgr - Wgw,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Engr Tech III,3,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Equip Operator,2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Equip Operator - Lead,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Field Service Pers Wgw,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Gas System Tech,2,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Gas System Technician II,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Haz Mat Inspector,0.06,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Haz Mat Spec,0.03,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Heavy Equip Oper,10,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Inspector Field Svc,4,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Lineper/Cable Spl,11,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Lineper/Cable Spl-L,4,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Lineperson/Cable Spl-T,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Lineperson/Cable Spl-TL,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Lnper/Cbl Spl-Appren,0,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Maint Mech,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Maintenance Mechanic-Welding,1,0
2009,Enterprise Funds,Electric Fund,Utilities,Administration,Manager Energy Risk,1,0
